id,price
1,51193.5125
2,51037.35
3,23209.2
4,2521.6
5,5664.9125
6,6339.05
7,4874.7625
8,13924.7125
9,4937.825
10,20302.6125
11,5793.875
12,4778.2125
13,4139.35
14,56044.2
15,40922.40583333333
16,56305.5625
17,57320.5
18,6476.8625
19,61059.9
20,5934.967500000001
21,5804.9625
22,56670.675
23,45339.475
24,5788.1875
25,5324.05
26,4562.975
27,6045.6875
28,5299.2125
29,4728.4625
30,6917.55
31,5817.5875
32,51910.8375
33,59523.3375
34,56374.8375
35,10977.975
36,6017.8875
37,5637.0875
38,58987.4625
39,5921.2
40,2313.7
41,9682.6125
42,69464.5875
43,5620.8625
44,4078.2375
45,12474.8
46,3724.35
47,6537.3625
48,13127.9875
49,71262.625
50,6841.225
51,6830.65
52,3272.5875
53,7083.975
54,6031.2625
55,7329.5875
56,2867.7625
57,4363.15
58,40388.4
59,3531.2875
60,66701.66458333333
61,10241.5125
62,52640.0125
63,6698.0625
64,10106.5375
65,55757.5375
66,51140.525
67,45414.1875
68,13161.8375
69,48688.0375
70,44437.95
71,5008.65
72,6134.1
73,9266.7375
74,8156.8
75,12615.7625
76,6503.1625
77,6403.35
78,3087.8
79,63051.4625
80,11732.95
81,4897.3375
82,5957.5625
83,8699.279166666667
84,5352.325
85,28878.5
86,59355.6125
87,5336.7625
88,12916.0625
89,59404.4375
90,4667.4125
91,5273.4
92,56461.05
93,53808.5
94,81232.6625
95,58706.9
96,3627.4
97,5893.8375
98,21800.0125
99,6116.825
100,63117.2625
101,5494.5
102,8381.75
103,8004.8375
104,2800.2
105,4880.5125
106,8114.825
107,55178.4
108,56190.775
109,51462.0
110,2410.0
111,54156.025
112,50609.9375
113,8408.9125
114,3318.7625
115,4092.5125
116,3608.875
117,5792.6375
118,3701.825
119,6024.1375
120,13773.225
121,54153.8625
122,14341.225
123,6838.125
124,44538.2
125,5585.325
126,6978.5375
127,10176.925
128,11199.2875
129,68215.45
130,5891.0625
131,5248.04375
132,60446.0125
133,7159.45
134,6015.35
135,4577.4875
136,42856.3125
137,3493.325
138,7459.9875
139,3954.3625
140,5061.1875
141,3392.3
142,51294.4125
143,7207.425
144,1714.0
145,55398.025
146,2986.925
147,5180.825
148,15501.1625
149,4421.1125
150,4609.725
151,8383.8375
152,63244.35
153,8714.7
154,6978.6125
155,55864.35
156,8383.3625
157,6431.525
158,4823.225
159,5118.0125
160,4813.5375
161,55113.5625
162,6673.7375
163,66735.8
164,8843.4625
165,59544.2
166,35709.825
167,43355.975
168,5008.328125
169,10445.6625
170,53963.9625
171,1910.9625
172,8209.6375
173,55532.0125
174,56147.2
175,5167.4875
176,69956.2375
177,4603.2375
178,3665.7375
179,5245.5375
180,75082.1
181,27775.525
182,6547.575
183,10586.175
184,5802.4125
185,27652.975
186,6097.1
187,9198.425
188,55616.275
189,16693.95
190,4412.5375
191,51696.825
192,4434.2
193,50615.9
194,4866.3
195,4396.0125
196,6340.825
197,2376.1875
198,16012.0625
199,14020.7
200,59527.9625
201,63759.8375
202,13086.2625
203,4388.7875
204,6047.8625
205,62307.7875
206,59540.35
207,4365.475
208,46117.4
209,45011.4625
210,9613.8625
211,61619.725
212,42889.8625
213,4574.9
214,5928.8375
215,7068.3125
216,49668.8125
217,6650.85
218,29467.725
219,6407.5625
220,3776.025
221,4007.3125
222,4315.6875
223,22809.7
224,56843.425
225,55470.1625
226,11989.525
227,8561.325
228,9518.125
229,4256.35
